"species","decimalLongitude","decimalLatitude","dataSplit","Occ[1]_or_Bg[0]","ELEV","EVIM","EVISD","FC","HP","PDQ","PWQ","PhotoASTM","PhotoASTSD"
"Aedes albopictus",-82.2003400723205,27.5917539527141,"Training",1,38,3818.03735351562,707.196228027344,12,0.606943190097809,0.134322449564934,0.589921653270721,22.6291599273682,5.0660548210144
"Aedes albopictus",-0.435682911177736,38.3984868207421,"Training",1,38,1765.36999511719,409.932769775391,0,28.6422786712646,0.045497827231884,0.160835802555084,16.8675670623779,6.2068510055542
"Aedes albopictus",-46.8875662533299,-22.7588177225123,"Training",1,737,4457.57763671875,791.24853515625,45,1.54557776451111,0.125128239393234,0.643028438091278,21.9020595550537,3.01427292823792
"Aedes albopictus",-0.471615522542777,39.5393472315814,"Training",1,106,2086.55004882812,215.871429443359,0,6.05964279174805,0.0747647508978844,0.161015152931213,16.6245040893555,6.22713994979858
"Aedes albopictus",-35.2633664767403,-7.17304754293735,"Training",1,88,3515.66943359375,970.978149414062,3,0.386500865221024,0.0848798975348473,0.259411752223969,25.1348495483398,1.22298645973206
"Aedes albopictus",101.783613269513,3.30130866996434,"Training",1,527,4469.52587890625,1153.37219238281,97,0.341940343379974,0.419249475002289,0.859076619148254,25.1765155792236,0.895767509937286
"Aedes albopictus",3.10367930827846,41.8480175117835,"Training",1,7,1855.58471679688,538.124755859375,0,9.11631965637207,0.0864663422107697,0.242519661784172,16.206335067749,5.96614789962769
"Aedes albopictus",120.558402707745,22.5432220559295,"Training",1,25,3807.9677734375,664.645568847656,4,6.05910968780518,0.11387524753809,1.4204283952713,23.7248516082764,3.7944917678833
"Aedes albopictus",121.052476114014,22.8216997940084,"Training",1,564,5684.552734375,1637.59790039062,89,0.162822902202606,0.433414340019226,1.28753411769867,17.4431629180908,4.18815469741821
"Aedes albopictus",8.32289110905015,44.2285530147157,"Training",1,232,4189.92431640625,1156.03723144531,50,0.0192927941679955,0.199601367115974,0.485790282487869,13.9960336685181,6.15643262863159
"Aedes albopictus",-155.835243912124,20.0459055660611,"Training",1,15,1017.10333251953,220.059661865234,0,0.9006187915802,0.0263902451843023,0.106600441038609,24.2266311645508,1.1729189157486
"Aedes albopictus",-0.444666064019003,38.3895036679009,"Training",1,31,1986.34936523438,403.638549804688,0,19.6151962280273,0.045497827231884,0.160835802555084,16.8675670623779,6.2068510055542
"Aedes albopictus",-87.8148105981076,32.5414711682448,"Training",1,33,3465.9013671875,1540.08972167969,78,0.0243490748107433,0.260541498661041,0.349800437688828,18.6108341217041,8.1945219039917
"Aedes albopictus",120.226026052618,23.0013628508335,"Training",1,29,1383.43859863281,359.636505126953,0,91.3141098022461,0.086824893951416,1.04713296890259,23.7223358154297,3.6956615447998
"Aedes albopictus",-0.62432912084418,39.4405325503276,"Training",1,176,2455.86743164062,256.800842285156,2,0.882921099662781,0.065254345536232,0.16144871711731,16.5081596374512,6.35209465026855
"Aedes albopictus",-50.7593051279127,-26.0736011209349,"Training",1,772,4145.15966796875,1079.88110351562,53,0.0325148366391659,0.311026006937027,0.593365252017975,17.1718730926514,3.87489938735962
"Aedes albopictus",-40.0424037882903,-3.0587635416432,"Training",1,49,4214.52294921875,1262.46166992188,23,0.174095213413239,0.0161731783300638,0.678629696369171,27.5448169708252,0.897844195365906
"Aedes albopictus",-90.2941607822952,34.2572533609242,"Training",1,48,3379.69873046875,1538.38647460938,25,0.392314553260803,0.25303241610527,0.406646460294724,17.5400657653809,8.97314548492432
"Aedes albopictus",120.711116306046,22.417457916152,"Training",1,748,4562.94677734375,1254.47143554688,93,0.0720034092664719,0.0964626520872116,1.23875069618225,24.3761653900146,3.37008476257324
"Aedes albopictus",-43.1056589071598,-22.2377948577196,"Training",1,480,3498.98999023438,896.732666015625,26,5.51897048950195,0.0676344558596611,0.675663590431213,21.5952205657959,2.84348750114441
"Aedes albopictus",-77.9513087784048,34.2033544438767,"Training",1,3,2010.20556640625,651.495483398438,20,4.4716739654541,0.25741308927536,0.518644750118256,17.7945461273193,7.52206563949585
